Incentive Name,Website Link,State,County,Jurisdiction,Provider,Incentive Type,Technology,Sub-Technology,Product,Product Capacity,Product Eligibility,Incentive Amount,Unit,Incentive Value,Estimated Incentive Value,Application/Eligibility Link,Assumption Type,Assumed Capacity
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED A Lamp LT/GTE,11 W,ENERGY STAR or DLC-listed,$7.5/unit,,7.5,375,Link,Lighting Type 2,900
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED BR30 Lamp,,ENERGY STAR or DLC-listed,$11/unit,,11,374,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED BR40 Lamp,,ENERGY STAR or DLC-listed,$13/unit,,13,442,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED Decorative Lamp,,ENERGY STAR or DLC-listed,$7.5/unit,,7.5,375,Link,Lighting Type 2,900
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED MR16 Lamp,,ENERGY STAR or DLC-listed,$14/unit,,14,476,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED PAR16 Lamp,,ENERGY STAR or DLC-listed,$9.5/unit,,9.5,475,Link,Lighting Type 2,900
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED PAR20 Lamp,,ENERGY STAR or DLC-listed,$9/unit,,9,450,Link,Lighting Type 2,900
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED PAR30 Lamp,,ENERGY STAR or DLC-listed,$10/unit,,10,340,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED PAR38 Lamp,,ENERGY STAR or DLC-listed,$16/unit,,16,544,Link,Lighting Type 2,1350
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,LED R20 Lamp,,ENERGY STAR or DLC-listed,$7.5/unit,,7.5,375,Link,Lighting Type 2,900
Small-Medium Business Program Incentives,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Downlights,LED Downlight Edison Base Retrofit Kit,,ENERGY STAR or DLC-listed,$20/unit,,20,680,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,HVAC,Air Conditioners,Unitary HVAC and Split Air Systems,Variable Capacities,NEEP certified,$75/ton,ton,75,253.54,Link,HVAC Type 3,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,HVAC,Air Conditioners,Packaged Terminal AC (PTAC),Variable Capacities,NEEP certified,$150/ton,ton,150,507.09,Link,HVAC Type 3,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,HVAC,Air Conditioners,Single-Package Vertical Air Conditioner (SPVAC),Variable Capacities,NEEP certified,$0.30/kWh,kWh,0.3,1336.5,Link,HVAC Type 2,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,HVAC,Air Conditioners,Variable Refrigerant Flow-Air Conditioner,Variable Capacities,NEEP certified,$0.30/kWh,kWh,0.3,1336.5,Link,HVAC Type 2,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,HVAC,Air Compressor,Air Compressor - VSD Type,Variable Capacities,,$250/HP,HP,250,4687.5,Link,HVAC Type 4,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,HVAC,Air Compressor,Air Compressor - Variable Displacement,Variable Capacities,,$250/HP,HP,250,4687.5,Link,HVAC Type 4,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,HVAC,Pumps & Motors,VFDs - All types,Variable Capacities,,$0.19/kWh,kWh,0.19,352.69,Link,HVAC Type 2,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Insulation,Envelope,Window Film,Variable Capacities,,$1/sqft,,1,1500,Link,Insulation Type 2,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Insulation,Envelope,Cool Roof,Variable Capacities,,$50/1000 sqft,,0.05,75,Link,Insulation Type 2,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Insulation,Envelope,Other Envelope Measures,Variable Capacities,,$0.68/kWh,kWh,0.68,734.4,Link,Insulation Type 1,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Insulation,Pipe,Linear Pipe Insulation,"Bare Pipe Diameter: up to 2""",,$7/Linear Foot of Piping,,7,314.67,Link,Insulation Type 3,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Insulation,Pipe,Linear Pipe Insulation,"Bare Pipe Diameter: > 2"" Dia <= 8”",,$10/Linear Foot of Piping,,10,449.53,Link,Insulation Type 3,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Insulation,Pipe,Linear Pipe Insulation,"Bare Pipe Diameter: > 8"" Dia <= 16”",,$2.5/Therm,Therm,2.5,23.04,Link,Insulation Type 1,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Controls,Building Controls,Building Automation Systems (BAS),Variable Capacities,,$0.35/kWh,,0.35,708.75,Link,Controls Type 1,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Controls,Building Controls,Elevator Modernization,Variable Capacities,,$0.25/kWh,,0.25,506.25,Link,Controls Type 1,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Controls,Building Controls,Advanced Controls for Heating Electrification,Variable Capacities,,$0.45/kWh,,0.45,911.25,Link,Controls Type 1,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,Controls,Building Controls,Telecommunication Switch Modernization,Variable Capacities,,$0.15/kWh,,0.15,303.75,Link,Controls Type 1,
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Fixture- LED Exit Sign,All capacities,ENERGY STAR or DLC-listed,$14/unit,,14,476,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Fixture- Direct Linear Ambient Luminaires,All capacities,ENERGY STAR or DLC-listed,$55/unit,,55,275,Link,Lighting Type 2,10000
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,"Fixture- Linear Ambient Luminaires with Indirect
Component",All capacities,ENERGY STAR or DLC-listed,$55/unit,,55,275,Link,Lighting Type 2,10000
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Fixture- Parking Garage/Fuel Canopy Luminaires,All capacities,ENERGY STAR or DLC-listed,$125/unit,,125,250,Link,Lighting Type 2,25000
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Fixture- Outdoor Pole/Arm-Mounted Luminaires,All capacities,ENERGY STAR or DLC-listed,$105/unit,,105,210,Link,Lighting Type 2,25000
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Downlights,Fixture- Downlights w. Screw-In or Pin-Based Lamps,All capacities,ENERGY STAR or DLC-listed,$25/unit,,25,850,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,"Fixture- Bollards/Landscape/Accent Flood and Spot
Luminaires",All capacities,ENERGY STAR or DLC-listed,$70/unit,,70,350,Link,Lighting Type 2,10000
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Downlights,Fixture- Track or Mono-Point Luminaires,All capacities,ENERGY STAR or DLC-listed,$25/unit,,25,850,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Fixture- High Bay/Low Bay Luminaires,All capacities,ENERGY STAR or DLC-listed,$95/unit,,95,190,Link,Lighting Type 2,25000
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Fixture- 1x4 Luminaires for Ambient Lighting,All capacities,ENERGY STAR or DLC-listed,$25/unit,,25,850,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Fixture- 2x2 Luminaires for Ambient Lighting,All capacities,ENERGY STAR or DLC-listed,$25/unit,,25,850,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Fixture- 2x4 Luminaires for Ambient Lighting,All capacities,ENERGY STAR or DLC-listed,$55/unit,,55,275,Link,Lighting Type 2,10000
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,"Fixture- Outdoor Full-Cutoff/Non-Cutoff/Semi-Cutoff
Wall-Mounted Luminaires",All capacities,ENERGY STAR or DLC-listed,$105/unit,,105,210,Link,Lighting Type 2,25000
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Retrofit- Direct Linear Ambient Luminaires,All capacities,ENERGY STAR or DLC-listed,$25/unit,,25,850,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,"Retrofit- Linear Ambient Luminaires with Indirect
Component",All capacities,ENERGY STAR or DLC-listed,$25/unit,,25,850,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,Retrofit- Outdoor Pole/Arm-Mounted Luminaires,All capacities,ENERGY STAR or DLC-listed,$105/unit,,105,210,Link,Lighting Type 2,25000
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Downlights,Retrofit- Downlights w. Screw-In or Pin-Based Lamps,All capacities,ENERGY STAR or DLC-listed,$14/unit,,14,476,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Retrofit- High Bay/Low Bay Luminaires,All capacities,ENERGY STAR or DLC-listed,$45/unit,,45,720,Link,Lighting Type 2,2880
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Retrofit- 1x4 Luminaires for Ambient Lighting,All capacities,ENERGY STAR or DLC-listed,$14/unit,,14,476,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Retrofit- 2x2 Luminaires for Ambient Lighting,All capacities,ENERGY STAR or DLC-listed,$14/unit,,14,476,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Interior,Retrofit- 2x4 Luminaires for Ambient Lighting,All capacities,ENERGY STAR or DLC-listed,$25/unit,,25,850,Link,Lighting Type 2,1350
Commercial and Industrial Energy Efficiency Program,Link,NY,NY,Utility,ConEd,Discount,LED Lighting,Exterior,"Retrofit- Outdoor Full-Cutoff/Non-Cutoff/Semi-Cutoff
Wall-Mounted Luminaires",All capacities,ENERGY STAR or DLC-listed,$105/unit,,105,210,Link,Lighting Type 2,25000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED Tubes including U-bends and T5HO tubes,1W – 19W,ENERGY STAR or DLC-listed,$22/unit,,22,748,,Lighting Type 2,1350
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED Tubes including U-bends and T5HO tubes,> 19W – 50W,ENERGY STAR or DLC-listed,$32/unit,,32,1088,,Lighting Type 2,1350
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,"LED 1x4, 2x2, 2x4, Linear Ambient",1W – 24W,ENERGY STAR or DLC-listed,$65/unit,,65,325,,Lighting Type 2,10000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,"LED 1x4, 2x2, 2x4, Linear Ambient",> 24W – 48W,ENERGY STAR or DLC-listed,$92/unit,,92,184,,Lighting Type 2,25000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,"LED 1x4, 2x2, 2x4, Linear Ambient",> 48W – 180W,ENERGY STAR or DLC-listed,$120/unit,,120,240,,Lighting Type 2,25000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED Refrigerated Case Lights - Cooler,1W – 15W per linear foot of luminaire,ENERGY STAR or DLC-listed,$13/unit,,13,442,,Lighting Type 2,1350
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED Refrigerated Case Lights - Freezer,1W – 15W per linear foot of luminaire,ENERGY STAR or DLC-listed,$13/unit,,13,442,,Lighting Type 2,1350
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Downlights,LED Downlights,1W – 50W,ENERGY STAR or DLC-listed,$65/unit,,65,325,,Lighting Type 2,10000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Downlights,LED Track Lighting,1W – 60W,ENERGY STAR or DLC-listed,$65/unit,,65,325,,Lighting Type 2,10000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Downlights,LED Indoor Wall-Wash Fixtures,1W – 15W,ENERGY STAR or DLC-listed,$65/unit,,65,325,,Lighting Type 2,10000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Exterior,"LED Wall Packs, Flood Lights, Arm Mount/Pole",1W– 81W,ENERGY STAR or DLC-listed,$125/unit,,125,250,,Lighting Type 2,25000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Exterior,"LED Wall Packs, Flood Lights, Arm Mount/Pole",> 81W – 240W,ENERGY STAR or DLC-listed,$240/unit,,240,480,,Lighting Type 2,25000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Exterior,"LED Wall Packs, Flood Lights, Arm Mount/Pole",> 240W – 1600W,ENERGY STAR or DLC-listed,$540/unit,,540,1080,,Lighting Type 2,25000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED High and Low Bay Fixtures,1W – 149W,ENERGY STAR or DLC-listed,$150/unit,,150,300,,Lighting Type 2,25000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED High and Low Bay Fixtures,> 149W – 298W,ENERGY STAR or DLC-listed,$300/unit,,300,600,,Lighting Type 2,25000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED High and Low Bay Fixtures,> 298W – 1600W,ENERGY STAR or DLC-listed,$700/unit,,700,1400,,Lighting Type 2,25000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Wall Switch Sensor,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$28/unit,,28,28,,Lighting Type 3,2880
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Remote or Wall Mounted Sensor,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$60/unit,,60,60,,Lighting Type 3,2880
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Fixture-Mounted Sensor,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$28/unit,,28,28,,Lighting Type 3,2880
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Integrated Sensor,Wattage: 1 < W < 80,ENERGY STAR or DLC-listed,$12/unit,,12,12,,Lighting Type 3,4500
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Integrated Sensor,Wattage: >= 80W,ENERGY STAR or DLC-listed,$40/unit,,40,40,,Lighting Type 3,9000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Refrigerated Case Sensor,Wattage: 1 < W < 80,ENERGY STAR or DLC-listed,$20/unit,,20,20,,Lighting Type 3,2880
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Networked Lighting Controls,Wattage: 1 < W < 80,ENERGY STAR or DLC-listed,$24/unit,,24,24,,Lighting Type 3,4500
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Networked Lighting Controls,Wattage: >= 80W,ENERGY STAR or DLC-listed,$40/unit,,40,40,,Lighting Type 3,9000
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Heaters,Unit Heaters,Thermal Heating: 100-400 MBH,Combustion Efficiency: 92%,$4/MBH,MBTU,4,60.84,,HVAC Type 2,
NYSEG - RG&E Small Business Customer Choice Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,HVAC Controls,Wi-Fi Thermostats,Variable Capacities,,$125/unit,,125,125,,Standard,
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED Tubes including U-bends and T5HO tubes,1W – 19W,ENERGY STAR or DLC-listed,$4/unit,,4,200,,Lighting Type 2,900
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED Tubes including U-bends and T5HO tubes,> 19W – 50W,ENERGY STAR or DLC-listed,$8/unit,,8,400,,Lighting Type 2,900
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,"LED 1x4, 2x2, 2x4, Linear Ambient",1W – 24W,ENERGY STAR or DLC-listed,$15/unit,,15,510,,Lighting Type 2,1350
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,"LED 1x4, 2x2, 2x4, Linear Ambient",> 24W – 48W,ENERGY STAR or DLC-listed,$20/unit,,20,680,,Lighting Type 2,1350
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,"LED 1x4, 2x2, 2x4, Linear Ambient",> 48W – 180W,ENERGY STAR or DLC-listed,$25/unit,,25,850,,Lighting Type 2,1350
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED Refrigerated Case Lights - Cooler,1W – 15W per linear foot of luminaire,ENERGY STAR or DLC-listed,$3/unit,,3,150,,Lighting Type 2,900
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED Refrigerated Case Lights - Freezer,1W – 15W per linear foot of luminaire,ENERGY STAR or DLC-listed,$3/unit,,3,150,,Lighting Type 2,900
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Downlights,LED Downlights,1W – 50W,ENERGY STAR or DLC-listed,$15/unit,,15,510,,Lighting Type 2,1350
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Downlights,LED Track Lighting,1W – 60W,ENERGY STAR or DLC-listed,$15/unit,,15,510,,Lighting Type 2,1350
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Downlights,LED Indoor Wall-Wash Fixtures,1W – 15W,ENERGY STAR or DLC-listed,$15/unit,,15,510,,Lighting Type 2,1350
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Exterior,"LED Wall Packs, Flood Lights, Arm Mount/Pole",1W– 81W,ENERGY STAR or DLC-listed,$60/unit,,60,300,,Lighting Type 2,10000
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Exterior,"LED Wall Packs, Flood Lights, Arm Mount/Pole",> 81W – 240W,ENERGY STAR or DLC-listed,$120/unit,,120,240,,Lighting Type 2,25000
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Exterior,"LED Wall Packs, Flood Lights, Arm Mount/Pole",> 240W – 1600W,ENERGY STAR or DLC-listed,$240/unit,,240,480,,Lighting Type 2,25000
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED High and Low Bay Fixtures,1W – 149W,ENERGY STAR or DLC-listed,$35/unit,,35,560,,Lighting Type 2,2880
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED High and Low Bay Fixtures,> 149W – 298W,ENERGY STAR or DLC-listed,$70/unit,,70,350,,Lighting Type 2,10000
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,Interior,LED High and Low Bay Fixtures,> 298W – 1600W,ENERGY STAR or DLC-listed,$200/unit,,200,400,,Lighting Type 2,25000
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Wall Switch Sensor,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$7/unit,,7,7,,Lighting Type 3,2880
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Remote or Wall Mounted Sensor,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$15/unit,,15,15,,Lighting Type 3,2880
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Fixture-Mounted Sensor,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$7/unit,,7,7,,Lighting Type 3,2880
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Integrated Sensor,Wattage: 1 < W < 80,ENERGY STAR or DLC-listed,$3/unit,,3,3,,Lighting Type 3,4500
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Integrated Sensor,Wattage: >= 80W,ENERGY STAR or DLC-listed,$10/unit,,10,10,,Lighting Type 3,9000
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Refrigerated Case Sensor,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$5/unit,,5,5,,Lighting Type 3,2880
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Networked Lighting Controls,Wattage: 1 < W < 80,ENERGY STAR or DLC-listed,$6/unit,,6,6,,Lighting Type 3,4500
NYSEG - RG&E Lighting Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,LED Lighting,LED Controls,Networked Lighting Controls,Wattage: >= 80W,ENERGY STAR or DLC-listed,$20/unit,,20,20,,Lighting Type 3,9000
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Pumps & Motors,Notched Belt - Distribution Fan,Variable Capacities,,$25/unit,,25,25,,Standard,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Pumps & Motors,Synchronous Belts - Cooling Tower Fan,Variable Capacities,,$100/unit,,100,100,,Standard,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Air Conditioners,Unitary HVAC and Split AC Systems,Tonnage: 1 < tons < 5.4,SEER Rating: 16,$50/ton,ton,50,169.03,,HVAC Type 3,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Air Conditioners,Unitary HVAC and Split AC Systems,Tonnage: 1 < tons < 5.4,SEER Rating: 20,$100/ton,ton,100,338.06,,HVAC Type 3,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Air Conditioners,Unitary HVAC and Split AC Systems,Tonnage: 1 < tons < 5.4,SEER Rating: 24,$150/ton,ton,150,507.09,,HVAC Type 3,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Air Conditioners,Unitary HVAC and Split AC Systems,Tonnage: 5.4 < tons < 63,IEER Rating: 12.1-13.8,$50/ton,ton,50,169.03,,HVAC Type 3,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Air Conditioners,Unitary HVAC and Split AC Systems,Tonnage: > 63,IEER Rating: 11.4,$40/ton,ton,40,135.22,,HVAC Type 3,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Heaters,Unit Heaters,Thermal Heating: 100-400 MBH,Combustion Efficiency: 92%,$2/MBH,MBTU,2,30.42,,HVAC Type 2,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Heaters,Low-Intensity Infrared Heaters,Variable Capacities,,$3.5/MBH,MBTU,3.5,53.23,,HVAC Type 2,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Heaters,Instantaneous Water Heaters - Electric Heating,Wattage: > 12 kW,Minimum Thermal Efficiency: 98%,$400/unit,unit,400,338.06,Link,HVAC Type 3,4
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Pumps & Motors,EC Motor for Hydronic Circulation Pump,Wattage: ≤ 100 W,,$150/unit,,150,150,,Standard,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Pumps & Motors,EC Motor for Hydronic Circulation Pump,Wattage: 100 < W < 500,,$500/unit,,500,500,,Standard,
NYSEG - RG&E HVAC Rebate Program,,NY,NY,Utility,NYSEG / RG&E,Discount,HVAC,Pumps & Motors,EC Motor for Hydronic Circulation Pump,Wattage: 500 < W < 1000,,$1000/unit,,1000,1000,,Standard,
